Id,Date,Price,Cohort
10078935018,2006-09-10,126.45,21
10079018740,2006-09-20,43.22,21
10079381881,2006-09-05,25.8,21
10079432462,2006-09-12,91.67,21
10079931784,2006-09-15,16.7,21
10079977680,2006-09-08,61.58,21
10080005382,2006-09-12,151.2,21
10080011247,2006-09-03,42,21
10080182914,2006-09-16,46.7,21
10080182914,2006-11-07,43.28,21
10080182914,2007-11-27,20.66,21
10080236908,2006-09-06,45.2,21
10080392463,2006-09-01,7.45,21
10080392471,2006-09-01,181.62,21
10080395474,2006-09-01,21,21
10080396514,2006-09-01,58.36,21
10080396926,2006-09-01,235,21
10080398246,2006-09-01,20,21
10080398246,2006-09-11,16,21
10080398444,2006-09-01,44.85,21
10080398460,2006-09-01,34.65,21
10080398460,2006-09-04,34.65,21
10080398460,2009-05-06,24.15,21
10080398775,2006-09-01,47.69,21
10080399318,2006-11-29,12.75,21
10080399318,2006-12-12,18.5,21
10080399318,2006-09-01,34.95,21
10080399682,2006-09-01,12,21
10080399682,2006-12-12,13.05,21
10080399682,2010-10-04,7.25,21
10080399779,2006-09-01,31.36,21
10080399878,2006-09-01,29.5,21
10080399878,2007-01-07,115,21
10080401347,2006-09-01,73.5,21
10080402256,2006-09-01,74,21
10080403137,2006-09-01,58.66,21
10080403137,2011-11-03,74.75,21
10080404202,2006-09-01,322.08,21
10080404665,2006-09-01,271.02,21
10080404665,2011-01-07,42.85,21
10080404796,2006-09-01,57.19,21
10080405439,2006-09-01,64.4,21
10080405810,2006-09-01,27.43,21
10080406041,2006-09-01,27,21
10080406041,2007-06-06,10,21
10080406041,2008-06-22,9,21
10080406604,2006-09-01,104.86,21
10080406612,2006-09-01,9.5,21
10080407346,2006-09-01,23.75,21
10080407560,2006-09-01,22.6,21
10080411099,2006-09-02,40,21
10080411099,2007-01-26,29.31,21
10080411099,2007-10-01,77.55,21
10080411330,2006-09-02,53.5,21
10080411330,2008-11-08,21,21
10080411612,2006-09-02,24.52,21
10080411620,2006-09-02,30,21
10080411784,2006-09-02,154.14,21
10080413014,2006-09-02,15,21
10080413418,2006-09-02,65.56,21
10080415712,2006-09-02,49,21
10080416890,2006-09-02,17.5,21
10080417775,2006-09-02,91.7,21
10080418211,2006-09-02,147.5,21
10080418211,2009-07-06,67.62,21
10080418219,2006-09-02,85.76,21
10080418450,2006-09-02,32.8,21
10080418541,2006-09-02,382.25,21
10080418813,2006-09-02,59.47,21
10080419159,2006-09-02,35.5,21
10080419159,2006-09-18,35.5,21
10080419159,2009-12-05,24,21
10080419638,2006-09-02,10.77,21
10080421280,2006-09-02,30,21
10080421329,2006-09-05,142.1,21
10080421997,2006-09-02,91.7,21
10080422088,2006-09-02,41,21
10080422361,2006-09-02,22.5,21
10080425463,2006-09-03,65,21
10080426287,2006-09-03,42.5,21
10080426477,2006-09-03,129.21,21
10080426519,2006-09-03,27.23,21
10080426586,2006-09-03,19.35,21
10080427534,2006-09-03,80.29,21
10080427740,2006-09-03,237.14,21
10080427829,2006-09-03,80,21
10080428012,2006-09-03,59.47,21
10080428012,2006-09-09,75,21
10080428012,2007-06-17,30,21
10080428012,2007-12-20,125,21
10080428012,2008-11-21,820,21
10080428111,2006-09-03,9.05,21
10080428624,2006-09-03,9.05,21
10080428723,2006-09-03,72.95,21
10080431287,2006-09-03,110,21
10080431305,2006-09-03,75,21
10080431881,2006-09-03,35,21
10080432014,2006-09-03,100,21
10080432766,2006-09-03,14.25,21
10080432871,2006-09-03,9.05,21
10080433095,2006-09-03,24,21
10080433095,2008-09-23,10.73,21
10080433095,2010-01-20,5.85,21
10080433095,2010-09-24,24.38,21
10080433301,2006-09-03,22.25,21
10080433548,2006-09-03,71.34,21
10080433844,2006-09-03,78.48,21
10080433910,2006-09-03,43.34,21
10080434646,2006-09-03,196.79,21
10080434646,2006-12-06,267.89,21
10080434850,2006-09-04,59.47,21
10080436789,2006-09-04,59.7,21
10080436789,2008-06-12,61,21
10080436789,2008-11-18,58.6,21
10080438209,2006-09-04,61.11,21
10080438209,2006-11-08,30,21
10080438292,2006-09-04,34.6,21
10080438615,2006-09-04,20.3,21
10080438852,2006-09-04,22.6,21
10080440379,2006-09-04,30.53,21
10080440379,2007-09-07,85,21
10080440577,2006-09-04,53.5,21
10080440981,2006-09-04,44.1,21
10080440981,2006-11-18,110,21
10080442484,2006-09-04,80.77,21
10080443276,2006-09-04,35.06,21
10080443490,2006-09-04,23.75,21
10080443490,2006-12-10,42.75,21
10080443589,2006-09-04,96.83,21
10080443755,2006-09-04,10,21
10080443818,2006-09-04,64,21
10080445824,2006-09-04,34.65,21
10080445847,2006-09-04,90.86,21
10080445847,2007-03-12,69.11,21
10080445847,2007-11-10,29.5,21
10080445847,2008-03-31,8.75,21
10080451962,2006-09-05,32.6,21
10080451962,2007-09-26,2.39,21
10080452631,2006-09-05,25.65,21
10080453606,2006-09-05,115,21
10080453746,2006-09-05,71.95,21
10080453746,2006-10-03,48,21
10080453809,2006-09-05,64,21
10080453892,2006-09-05,61.37,21
10080453991,2006-09-05,52.8,21
10080453991,2007-01-24,72.51,21
10080453991,2007-08-26,245,21
10080454512,2006-09-05,46.66,21
10080454751,2006-09-05,28,21
10080457516,2006-09-05,24,21
10080457706,2006-09-05,40.49,21
10080458076,2006-09-05,30.3,21
10080458727,2006-09-05,69.85,21
10080459371,2006-09-05,119.8,21
10080459840,2006-09-05,40,21
10080459840,2007-01-30,30.53,21
10080460038,2006-09-05,9.87,21
10080461854,2006-09-05,58,21
10080463042,2006-09-05,30.53,21
10080463042,2007-11-19,14.5,21
10080463579,2006-09-05,40.98,21
10080463579,2007-10-24,25,21
10080463579,2009-11-18,18.03,21
10080463579,2009-11-29,76.59,21
10080463841,2006-09-05,59,21
10080464115,2006-09-05,59.47,21
10080464115,2010-11-01,45.32,21
10080464115,2011-10-31,13,21
10080464865,2006-09-05,27.5,21
10080464865,2007-06-19,135.4,21
10080465748,2006-09-05,31.8,21
10080466689,2006-09-05,21,21
10080466723,2006-09-05,377.24,21
10080466723,2007-02-15,90,21
10080466723,2007-04-05,239.8,21
10080466723,2007-05-27,68.28,21
10080467859,2006-09-05,12.87,21
10080468239,2006-09-05,179,21
10080468695,2006-09-05,48,21
10080469552,2006-09-05,33.56,21
